Date,Time,Action,Symbol,Price,SL,TP,Volume,Balance,Logic
2026-03-16,17:00:02,SELL,XAUUSD,5017.85,5038.8575927574575,4933.819628970172,0.01,327.05,Entry AI:0.57
2026-03-16,22:30:03,SELL,XAUUSD,5018.68,5039.809291783648,4934.162832865409,0.01,331.07,Entry AI:0.63
2026-03-17,14:30:02,CLOSE,XAUUSD,5032.84,0,0,0.01,317.22,Confirmed_Reversal_Exit
2026-03-19,15:00:02,SELL,XAUUSD,4851.55,4871.962336552192,4769.900653791233,0.01,323.92,Entry AI:0.62
